GeneSym,protein
A1CF,29974
A2M,2
AAAS,8086
AAMDC,28971
AAR2,25980
AARSD1,80755
AATF,26574
AATK,9625
ABAT,18
ABCA12,26154
ABCA13,154664
ABCA2,20
ABCA6,23460
ABCB1,5243
ABCB10,23456
ABCB11,8647
ABCB4,5244
ABCB6,10058
ABCB7,22
ABCB8,11194
ABCB9,23457
ABCC12,94160
ABCC2,1244
ABCC4,10257
ABCC6,368
ABCC8,6833
ABCC9,10060
ABCD2,225
ABCF1,23
ABCF2,10061
ABCF3,55324
ABCG1,9619
ABCG4,64137
ABCG8,64241
ABHD1,84696
ABHD12,26090
ABI2,10152
ABL1,25
ABL2,27
ABLIM1,3983
ABTB1,80325
ACAA2,10449
ACACA,31
ACAD10,80724
ACAD9,28976
ACADM,34
ACADS,35
ACAN,176
ACAP3,116983
ACBD6,84320
ACD,65057
ACE2,59272
ACHE,43
ACKR1,2532
ACMSD,130013
ACOT13,55856
ACOT8,10005
ACOT9,23597
ACOX1,51
ACOXL,55289
ACP1,52
ACP6,51205
ACPP,55
ACRBP,84519
ACSBG1,23205
ACSF2,80221
ACSF3,197322
ACSL3,2181
ACSL6,23305
ACSS3,79611
ACTA1,58
ACTB,60
ACTG1,71
ACTL6A,86
ACTL7B,10880
ACTN3,89
ACTN4,81
ACTR2,10097
ACTR3,10096
ACTR5,79913
ACTR6,64431
ACVR2A,92
ADA,100
ADAM10,102
ADAM17,6868
ADAM2,2515
ADAM28,10863
ADAM33,80332
ADAMTS13,11093
ADAMTSL2,9719
ADAMTSL3,57188
ADAMTSL4,54507
ADAP1,11033
ADAT1,23536
ADAT3,113179
ADCK4,79934
ADCY2,108
ADCY5,111
ADCY7,113
ADCY8,114
ADCYAP1R1,117
ADD3,120
ADH1A,124
ADH1B,125
ADH1C,126
ADH4,127
ADH5,128
ADH6,130
ADHFE1,137872
ADI1,55256
ADIPOQ,9370
ADIPOR1,51094
ADIRF,10974
ADK,132
ADM5,199800
ADNP,23394
ADORA2A,135
ADORA3,140
ADPRM,56985
ADRA2B,151
ADRA2C,152
ADRB1,153
ADRBK2,157
AEBP2,121536
AES,166
AFF1,4299
AFF2,2334
AFF4,27125
AFG3L1P,172
AFTPH,54812
AGA,175
AGBL2,79841
AGFG1,3267
AGGF1,55109
AGL,178
AGO1,26523
AGO2,27161
AGO4,192670
AGPAT1,10554
AGPAT3,56894
AGPAT4,56895
AGPAT6,137964
AGPS,8540
AGR2,10551
AGR3,155465
AGRN,375790
AGT,183
AGTPBP1,23287
AGXT2,64902
AHCTF1,25909
AHR,196
AHSG,197
AIFM1,9131
AIFM2,84883
AIFM3,150209
AIG1,51390
AIM2,9447
AIMP1,9255
AIP,9049
AIRE,326
AK2,204
AK7,122481
AK8,158067
AK9,221264
AKAP4,8852
AKAP7,9465
AKAP8,10270
AKAP8L,26993
AKAP9,10142
AKIP1,56672
AKIRIN1,79647
AKIRIN2,55122
AKNA,80709
AKR1A1,10327
AKR1B1,231
AKR1B10,57016
AKR1C1,1645
AKR1C4,1109
AKR7A3,22977
AKT1,207
AKT1S1,84335
AKT2,208
AKTIP,64400
ALAD,210
ALB,213
ALDH1A2,8854
ALDH2,217
ALDH3A1,218
ALDH3B1,221
ALDH3B2,222
ALDH4A1,8659
ALDH6A1,4329
ALDH9A1,223
ALG10B,144245
ALG13,79868
ALG14,199857
ALG3,10195
ALK,238
ALKBH1,8846
ALKBH7,84266
ALMS1,7840
ALOX15B,247
ALOX5,240
ALOXE3,59344
ALPK3,57538
ALPP,250
ALPPL2,251
ALS2CL,259173
ALS2CR11,151254
ALS2CR12,130540
ALX1,8092
ALX4,60529
AMBRA1,55626
AMD1,262
AMELX,265
AMFR,267
AMHR2,269
AMIGO3,386724
AMMECR1L,83607
AMN,81693
AMOT,154796
AMZ2,51321
ANAPC11,51529
ANAPC15,25906
ANAPC16,119504
ANAPC4,29945
ANAPC7,51434
ANGEL2,90806
ANGPT2,285
ANGPTL1,9068
ANGPTL3,27329
ANGPTL6,83854
ANK3,288
ANKAR,150709
ANKFY1,51479
ANKH,56172
ANKHD1,54882
ANKRA2,57763
ANKRD10,55608
ANKRD11,29123
ANKRD13A,88455
ANKRD13D,338692
ANKRD17,26057
ANKRD18A,253650
ANKRD2,26287
ANKRD23,200539
ANKRD28,23243
ANKRD30A,91074
ANKRD31,256006
ANKRD32,84250
ANKRD39,51239
ANKRD53,79998
ANKRD54,129138
ANKS1B,56899
ANO2,57101
ANO3,63982
ANO5,203859
ANO6,196527
ANP32C,23520
ANXA10,11199
ANXA13,312
ANXA9,8416
AOC3,8639
AP1B1,162
AP1G1,164
AP1M1,8907
AP1S1,1174
AP1S2,8905
AP1S3,130340
AP2A2,161
AP2B1,163
AP2M1,1173
AP3B1,8546
AP3D1,8943
AP3M1,26985
AP4B1,10717
AP4E1,23431
AP5M1,55745
AP5Z1,9907
APAF1,317
APBA3,9546
APBB1IP,54518
APC2,10297
APCDD1,147495
APEH,327
APH1B,83464
API5,8539
APITD1,378708
APLF,200558
APLN,8862
APLNR,187
APLP1,333
APOA1,335
APOA4,337
APOB,338
APOBEC2,10930
APOBEC3C,27350
APOBEC3D,140564
APOC1,341
APOC3,345
APOD,347
APOE,348
APOF,319
APOH,350
APOL5,80831
APOLD1,81575
APOO,79135
APPBP2,10513
APRT,353
APTX,54840
AQP4,361
AQP5,362
AQR,9716
AR,367
ARAP1,116985
ARAP3,64411
ARC,23237
ARCN1,372
ARF1,375
ARFGEF2,10564
ARFIP1,27236
ARFIP2,23647
ARG2,384
ARHGAP1,392
ARHGAP12,94134
ARHGAP17,55114
ARHGAP18,93663
ARHGAP19,84986
ARHGAP20,57569
ARHGAP21,57584
ARHGAP23,57636
ARHGAP25,9938
ARHGAP32,9743
ARHGAP33,115703
ARHGAP6,395
ARHGAP9,64333
ARHGEF1,9138
ARHGEF15,22899
ARHGEF16,27237
ARHGEF18,23370
ARHGEF2,9181
ARHGEF26,26084
ARHGEF40,55701
ARHGEF7,8874
ARID1B,57492
ARID3A,1820
ARID4B,51742
ARID5A,10865
ARIH2,10425
ARL1,400
ARL10,285598
ARL13B,200894
ARL16,339231
ARL2BP,23568
ARL3,403
ARL6,84100
ARL6IP1,23204
ARL6IP5,10550
ARL8A,127829
ARMC10,83787
ARMC2,84071
ARMC5,79798
ARMC6,93436
ARMC7,79637
ARMC8,25852
ARMC9,80210
ARMCX3,51566
ARPC4,10093
ARPIN,348110
ARPP19,10776
ARPP21,10777
ARR3,407
ARRB2,409
ARRDC1,92714
ARRDC1-AS1,85026
ARRDC4,91947
ARSA,410
ARSE,415
ARSF,416
ARSI,340075
ARSK,153642
ART4,420
ARTN,9048
ARV1,64801
ASB10,136371
ASB11,140456
ASB12,142689
ASB15,142685
ASB16,92591
ASB17,127247
ASB4,51666
ASB5,140458
ASB8,140461
ASB9,140462
ASCC2,84164
ASCL1,429
ASCL2,430
ASF1A,25842
ASGR1,432
ASGR2,433
ASH1L,55870
ASH2L,9070
ASIC1,41
ASIC2,40
ASIC3,9311
ASNA1,439
ASPH,444
ASPRV1,151516
ASPSCR1,79058
ASRGL1,80150
ASXL1,171023
ASXL2,55252
ASZ1,136991
ATAD1,84896
ATAD2B,54454
ATAD3C,219293
ATAD5,79915
ATF1,466
ATF3,467
ATF6B,1388
ATF7,11016
ATF7IP,55729
ATG101,60673
ATG2A,23130
ATG2B,55102
ATG4A,115201
ATG4B,23192
ATG4D,84971
ATL2,64225
ATL3,25923
ATMIN,23300
ATN1,1822
ATOH1,474
ATP10D,57205
ATP11A,23250
ATP11B,23200
ATP12A,479
ATP13A1,57130
ATP1A1,476
ATP1A3,478
ATP2A1,487
ATP2A2,488
ATP2B3,492
ATP2C1,27032
ATP2C2,9914
ATP5B,506
ATP5D,513
ATP5I,521
ATP5S,27109
ATP6AP1,537
ATP6V0B,533
ATP6V0D1,9114
ATP6V0D2,245972
ATP6V0E2,155066
ATP6V1A,523
ATP6V1B1,525
ATP6V1E1,529
ATP6V1F,9296
ATP6V1G1,9550
ATP6V1G2,534
ATP7A,538
ATP7B,540
ATP8B2,57198
ATP8B3,148229
ATP8B4,79895
ATP9A,10079
ATPAF2,91647
ATRX,546
ATXN1,6310
ATXN10,25814
ATXN2,6311
ATXN2L,11273
ATXN3,4287
ATXN7,6314
ATXN7L3,56970
AURKA,6790
AUTS2,26053
AVEN,57099
AVIL,10677
AVL9,23080
AVPI1,60370
AVPR1A,552
AXDND1,126859
AXIN2,8313
AZGP1,563
B2M,567
B3GALT1,8708
B3GALT2,8707
B3GAT1,27087
B3GAT3,26229
B3GNT1,11041
B3GNT2,10678
B3GNT9,84752
B4GALT2,8704
BAAT,570
BABAM1,29086
BACH1,571
BAD,572
BAG4,9530
BAG6,7917
BAHD1,22893
BANF1,8815
BAP1,8314
BARX2,8538
BATF2,116071
BAZ1B,9031
BBIP1,92482
BBOX1,8424
BBS4,585
BBS5,129880
BCAN,63827
BCAP31,10134
BCAS1,8537
BCAS2,10286
BCAS3,54828
BCCIP,56647
BCDIN3D,144233
BCL2L13,23786
BCL2L15,440603
BCL7A,605
BCL7B,9275
BCL9,607
BCORL1,63035
BCS1L,617
BDH1,622
BDH2,56898
BDKRB1,623
BDP1,55814
BECN1,8678
BEND4,389206
BET1,10282
BET1L,51272
BFAR,51283
BFSP2,8419
BHMT2,23743
BICD1,636
BID,637
BIN3,55909
BIRC6,57448
BLNK,29760
BLOC1S1,2647
BLOC1S2,282991
BLOC1S3,388552
BLOC1S4,55330
BLVRA,644
BLVRB,645
BLZF1,8548
BMP10,27302
BMP2,650
BMP4,652
BMP5,653
BMP7,655
BMPR1A,657
BMPR1B,658
BMPR2,659
BMX,660
BNC1,646
BNIP3L,665
BNIPL,149428
BOC,91653
BOD1,91272
BOLA1,51027
BOLL,66037
BORA,79866
BPI,671
BPIFA1,51297
BPIFA2,140683
BPNT1,10380
BPTF,2186
BRAT1,221927
BRCC3,79184
BRD1,23774
BRD2,6046
BRD3,8019
BRD4,23476
BRD7,29117
BRD8,10902
BRD9,65980
BRDT,676
BRE,9577
BRF1,2972
BRF2,55290
BRINP3,339479
BRIP1,83990
BRK1,55845
BROX,148362
BRPF3,27154
BRWD1,54014
BRWD3,254065
BSDC1,55108
BST1,683
BTBD10,84280
BTBD6,90135
BTBD8,284697
BTBD9,114781
BTD,686
BTF3L4,91408
BTG1,694
BTG3,10950
BTLA,151888
BTN1A1,696
BTN3A2,11118
BTN3A3,10384
BTNL2,56244
BUD31,8896
BZW2,28969
C10orf10,11067
C10orf32,119032
C10orf35,219738
C10orf55,414236
C10orf82,143379
C10orf88,80007
C10orf90,118611
C11orf30,56946
C11orf48,79081
C11orf49,79096
C11orf53,341032
C11orf58,10944
C11orf65,160140
C11orf70,85016
C11orf73,51501
C11orf80,79703
C11orf84,144097
C11orf87,399947
C12orf4,57102
C12orf65,91574
C14orf1,11161
C14orf178,283579
C14orf182,283551
C14orf28,122525
C14orf80,283643
C15orf39,56905
C15orf41,84529
C15orf43,145645
C15orf54,400360
C15orf59,388135
C16orf59,80178
C16orf62,57020
C16orf70,80262
C16orf72,29035
C16orf78,123970
C16orf87,388272
C17orf53,78995
C17orf62,79415
C17orf67,339210
C17orf70,80233
C18orf21,83608
C18orf25,147339
C18orf8,29919
C19orf10,56005
C19orf18,147685
C19orf25,148223
C19orf47,126526
C19orf52,90580
C19orf73,55150
C19orf81,342918
C1GALT1,56913
C1orf110,339512
C1orf111,284680
C1orf115,79762
C1orf116,79098
C1orf122,127687
C1orf123,54987
C1orf131,128061
C1orf168,199920
C1orf198,84886
C1orf228,339541
C1orf35,79169
C1orf43,25912
C1orf50,79078
C1orf52,148423
C1orf61,10485
C1orf64,149563
C1orf74,148304
C1orf87,127795
C1QA,712
C1QB,713
C1QBP,708
C1QC,714
C1QTNF3,114899
C1QTNF9,338872
C21orf2,755
C21orf33,8209
C21orf67,84536
C22orf24,25775
C2CD2,25966
C2CD5,9847
C2orf15,150590
C2orf43,60526
C2orf44,80304
C2orf47,79568
C2orf69,205327
C2orf73,129852
C2orf76,130355
C2orf88,84281
C3orf14,57415
C3orf20,84077
C3orf36,80111
C3orf38,285237
C3orf52,79669
C3orf62,375341
C4BPA,722
C4orf19,55286
C4orf26,152816
C4orf29,80167
C4orf46,201725
C5,727
C5AR1,728
C5orf22,55322
C5orf24,134553
C5orf28,64417
C5orf30,90355
C5orf42,65250
C5orf45,51149
C6orf118,168090
C6orf15,29113
C6orf165,154313
C6orf201,404220
C6orf203,51250
C6orf211,79624
C6orf48,50854
C6orf57,135154
C6orf89,221477
C7,730
C7orf25,79020
C7orf26,79034
C8A,731
C8B,732
C8orf33,65265
C8orf34,116328
C8orf76,84933
C9orf114,51490
C9orf116,138162
C9orf142,286257
C9orf24,84688
C9orf50,375759
C9orf64,84267
C9orf72,203228
C9orf78,51759
C9orf91,203197
CA11,770
CA12,771
CA14,23632
CA2,760
CA3,761
CA4,762
CA6,765
CA9,768
CAB39,51719
CAB39L,81617
CABLES2,81928
CABP2,51475
CABP5,56344
CABYR,26256
CACFD1,11094
CACHD1,57685
CACNA1B,774
CACNA1E,777
CACNA1F,778
CACNA1G,8913
CACNA2D1,781
CACNG1,786
CACNG2,10369
CACNG3,10368
CACNG4,27092
CACTIN,58509
CACUL1,143384
CACYBP,27101
CAD,790
CADPS2,93664
CALCOCO1,57658
CALCR,799
CALCRL,10203
CALML3,810
CALML5,51806
CAMK1,8536
CAMK2B,816
CAMK2D,817
CAMK2G,818
CAMK2N2,94032
CAMKK2,10645
CAMP,820
CAMSAP1,157922
CAND1,55832
CANT1,124583
CAP1,10487
CAPN7,23473
CAPNS1,826
CAPNS2,84290
CAPRIN1,4076
CARD11,84433
CARD14,79092
CARD16,114769
CARD9,64170
CARKD,55739
CARM1,10498
CARNS1,57571
CARS,833
CARS2,79587
CARTPT,9607
CASC3,22794
CASKIN1,57524
CASP12,100506742
CASP2,835
CASP3,836
CASP6,839
CASP7,840
CASP8,841
CASP8AP2,9994
CASP9,842
CASR,846
CAST,831
CASZ1,54897
CAT,847
CATSPERD,257062
CAV3,859
CBFA2T2,9139
CBFB,865
CBLN1,869
CBLN2,147381
CBR1,873
CBR3,874
CBR4,84869
CBS,875
CBX3,11335
CBX5,23468
CBX8,57332
CC2D1B,200014
CCAR1,55749
CCAR2,57805
CCBL1,883
CCBL2,56267
CCDC11,220136
CCDC112,153733
CCDC117,150275
CCDC12,151903
CCDC121,79635
CCDC124,115098
CCDC126,90693
CCDC127,133957
CCDC132,55610
CCDC149,91050
CCDC15,80071
CCDC151,115948
CCDC153,283152
CCDC159,126075
CCDC168,643677
CCDC170,80129
CCDC172,374355
CCDC174,51244
CCDC176,80127
CCDC185,164127
CCDC186,55088
CCDC22,28952
CCDC24,149473
CCDC25,55246
CCDC28A,25901
CCDC33,80125
CCDC39,339829
CCDC42,146849
CCDC50,152137
CCDC53,51019
CCDC57,284001
CCDC59,29080
CCDC60,160777
CCDC64B,146439
CCDC71L,168455
CCDC8,83987
CCDC82,79780
CCDC84,338657
CCDC85C,317762
CCDC86,79080
CCDC89,220388
CCDC9,26093
CCDC92,80212
CCDC93,54520
CCDC94,55702
CCDC96,257236
CCER1,196477
CCIN,881
CCKBR,887
CCL16,6360
CCL20,6364
CCL21,6366
CCL23,6368
CCL24,6369
CCL25,6370
CCL26,10344
CCL27,10850
CCL28,56477
CCL4,6351
CCNA1,8900
CCNB1IP1,57820
CCNB2,9133
CCNB3,85417
CCND2,894
CCNE1,898
CCNG2,901
CCNI,10983
CCNJL,79616
CCNL1,57018
CCNO,10309
CCNT2,905
CCNY,219771
CCNYL1,151195
CCR1,1230
CCT5,22948
CCT6A,908
CCT6B,10693
CCT7,10574
CD101,9398
CD14,929
CD160,11126
CD163,9332
CD177,57126
CD19,930
CD1B,910
CD1C,911
CD1E,913
CD2,914
CD200,4345
CD200R1,131450
CD226,10666
CD248,57124
CD2AP,23607
CD2BP2,10421
CD300LB,124599
CD300LF,146722
CD320,51293
CD34,947
CD36,948
CD3D,915
CD3E,916
CD3G,917
CD5,921
CD55,1604
CD6,923
CD8A,925
CD96,10225
CDA,978
CDC16,8881
CDC20B,166979
CDC23,8697
CDC25B,994
CDC25C,995
CDC27,996
CDC34,997
CDC37,11140
CDC37L1,55664
CDC42BPB,9578
CDC42BPG,55561
CDC42SE1,56882
CDC73,79577
CDCA2,157313
CDCA7,83879
CDH10,1008
CDH11,1009
CDH12,1010
CDH16,1014
CDH18,1016
CDH19,28513
CDH22,64405
CDH4,1002
CDH6,1004
CDH7,1005
CDH8,1006
CDH9,1007
CDHR1,92211
CDHR2,54825
CDHR5,53841
CDK1,983
CDK10,8558
CDK12,51755
CDK13,8621
CDK15,65061
CDK17,5128
CDK18,5129
CDK19,23097
CDK2,1017
CDK2AP2,10263
CDK5R1,8851
CDK5RAP2,55755
CDK5RAP3,80279
CDK6,1021
CDK8,1024
CDKAL1,54901
CDKL2,8999
CDKL5,6792
CDKN1B,1027
CDKN2AIP,55602
CDKN2D,1032
CDNF,441549
CDO1,1036
CDR1,1038
CDR2,1039
CDS2,8760
CDSN,1041
CDYL,9425
CDYL2,124359
CEACAM1,634
CEACAM5,1048
CEACAM6,4680
CEACAM7,1087
CEBPA,1050
CEBPB,1051
CEBPE,1053
CECR1,51816
CECR5,27440
CECR6,27439
CEL,1056
CELF3,11189
CELSR2,1952
CENPBD1,92806
CENPE,1062
CENPK,64105
CENPL,91687
CENPN,55839
CENPT,80152
CEP104,9731
CEP112,201134
CEP128,145508
CEP131,22994
CEP162,22832
CEP250,11190
CEP290,80184
CEP44,80817
CEP63,80254
CEP83,51134
CEP85L,387119
CEPT1,10390
CER1,9350
CERK,64781
CERS5,91012
CES4A,283848
CETN2,1069
CETP,1071
CFAP20,29105
CFAP43,80217
CFAP58,159686
CFAP97,57587
CFDP1,10428
CFH,3075
CFHR2,3080
CFL1,1072
CFP,5199
CFTR,1080
CGGBP1,8545
CGNL1,84952
CHAC1,79094
CHAC2,494143
CHAF1A,10036
CHAT,1103
CHCHD1,118487
CHCHD2,51142
CHD1L,9557
CHD4,1108
CHD6,84181
CHD8,57680
CHDH,55349
CHERP,10523
CHFR,55743
CHGA,1113
CHGB,1114
CHI3L1,1116
CHIC1,53344
CHIC2,26511
CHID1,66005
CHL1,10752
CHM,1121
CHML,1122
CHMP1A,5119
CHMP1B,57132
CHMP4B,128866
CHMP5,51510
CHMP7,91782
CHP2,63928
CHPF2,54480
CHPT1,56994
CHRAC1,54108
CHRD,8646
CHRM1,1128
CHRM3,1131
CHRM5,1133
CHRNA3,1136
CHRNA5,1138
CHRNB1,1140
CHST12,55501
CHST9,83539
CHSY3,337876
CHTF8,54921
CHUK,1147
CHURC1,91612
CIAPIN1,57019
CIB1,10519
CIB2,10518
CIB3,117286
CIC,23152
CIDEA,1149
CIDEC,63924
CINP,51550
CIRBP,1153
CIRH1A,84916
CISD3,284106
CITED2,10370
CKAP5,9793
CKB,1152
CKLF,51192
CKM,1158
CKMT2,1160
CLASP1,23332
CLASP2,23122
CLC,1178
CLCA1,1179
CLCN1,1180
CLCN2,1181
CLCN3,1182
CLDN10,9071
CLDN11,5010
CLDN16,10686
CLDN17,26285
CLDN19,149461
CLDN3,1365
CLDN6,9074
CLDN7,1366
CLDN8,9073
CLEC1B,51266
CLEC2B,9976
CLEC2L,154790
CLEC4C,170482
CLEC4F,165530
CLEC5A,23601
CLEC7A,64581
CLGN,1047
CLIC2,1193
CLIC3,9022
CLIC5,53405
CLK2,1196
CLK3,1198
CLK4,57396
CLN5,1203
CLN6,54982
CLN8,2055
CLNK,116449
CLP1,10978
CLPP,8192
CLSTN1,22883
CLSTN3,9746
CLTB,1212
CLTC,1213
CLYBL,171425
CMAS,55907
CMBL,134147
CMC2,56942
CMC4,100272147
CMPK1,51727
CMTM2,146225
CMTM5,116173
CMTR1,23070
CMTR2,55783
CMYA5,202333
CNDP2,55748
CNEP1R1,255919
CNGA3,1261
CNIH4,29097
CNNM3,26505
CNOT1,23019
CNOT2,4848
CNOT3,4849
CNOT6,57472
CNOT6L,246175
CNOT8,9337
CNTN1,1272
CNTN2,6900
CNTN3,5067
CNTN5,53942
CNTN6,27255
CNTNAP4,85445
CNTROB,116840
COA1,55744
COA6,388753
COASY,80347
COG2,22796
COG3,83548
COG4,25839
COG6,57511
COG7,91949
COIL,8161
COL11A1,1301
COL18A1,80781
COL19A1,1310
COL25A1,84570
COL4A3,1285
COL4A3BP,10087
COL4A6,1288
COL6A3,1293
COL8A2,1296
COL9A1,1297
COL9A3,1299
COLGALT1,79709
COLGALT2,23127
COLQ,8292
COMMD1,150684
COMMD10,51397
COMMD9,29099
COMTD1,118881
COPA,1314
COPB1,1315
COPB2,9276
COPG1,22820
COPRS,55352
COPS2,9318
COPS4,51138
COPZ1,22818
COQ5,84274
COQ6,51004
COQ9,57017
CORO1B,57175
CORO1C,23603
COX15,1355
COX18,285521
COX20,116228
COX4I1,1327
COX6A2,1339
COX6B2,125965
COX6C,1345
COX7A2,1347
COX8A,1351
CPA2,1358
CPAMD8,27151
CPB2,1361
CPEB3,22849
CPED1,79974
CPLX2,10814
CPNE3,8895
CPNE4,131034
CPNE5,57699
CPNE8,144402
CPPED1,55313
CPS1,1373
CPSF3L,54973
CPSF4,10898
CPSF6,11052
CPSF7,79869
CPT1A,1374
CPT1C,126129
CPXM1,56265
CR2,1380
CRABP1,1381
CRABP2,1382
CRACR2B,283229
CRAMP1L,57585
CRAT,1384
CRB2,286204
CRBN,51185
CRCP,27297
CRCT1,54544
CREB3L1,90993
CREB3L4,148327
CREBBP,1387
CREBRF,153222
CREM,1390
CRHR2,1395
CRIP1,1396
CRIP2,1397
CRISP3,10321
CRKL,1399
CRLF3,51379
CRLS1,54675
CRNKL1,51340
CRNN,49860
CROT,54677
CRP,1401
CRTC2,200186
CRTC3,64784
CRX,1406
CRY2,1408
CRYBA1,1411
CRYBA4,1413
CRYGA,1418
CRYGC,1420
CRYM,1428
CRYZL1,9946
CSAD,51380
CSDE1,7812
CSF1R,1436
CSGALNACT2,55454
CSH1,1442
CSMD1,64478
CSMD2,114784
CSN1S1,1446
CSN3,1448
CSNK1A1,1452
CSNK1D,1453
CSNK1E,1454
CSNK1G2,1455
CSNK1G2-AS1,255193
CSNK1G3,1456
CSNK2A2,1459
CSNK2B,1460
CSPG4,1464
CSRNP1,64651
